"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","795","Retrieve an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","1213","Delete an existing flight order","","2026-02-21","passed","2026-02-21","","","",""
"","665","Get passengers for a valid flight number","","2026-02-21","passed","2026-02-21","","","",""
"","325","Get passengers for unknown flight returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","3624","User searches, books, retrieves and cancels a flight","","2026-02-21","passed","2026-02-21","","","",""
"","324","Retrieve a non-existent flight order returns 404","","2026-02-21","passed","2026-02-21","","","",""
"","258","Backend health check returns ok","","2026-02-21","passed","2026-02-21","","","",""
"","279","Chat returns 400 for an empty message","","2026-02-21","passed","2026-02-21","","","",""
"","1252","Chat returns a response for a valid message","","2026-02-21","passed","2026-02-21","","","",""
"","1425","Create a flight order returns 201 with an orderId","","2026-02-21","passed","2026-02-21","","","",""
